cp_name,terminal_name,day,round_trips,one_way_trips,loaded_trips,repo_trips,payload_delivered_tons,cycle_time_hours,time_consumed_hours,lane_trucks_needed
Collection_Point01,Unload_Terminal_A,1,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point01,Unload_Terminal_A,6,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point01,Unload_Terminal_A,7,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point01,Unload_Terminal_A,10,8,0,8,0,224.0,5.435,43.48,5.68
Collection_Point01,Unload_Terminal_A,13,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point01,Unload_Terminal_A,14,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point01,Unload_Terminal_A,23,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point01,Unload_Terminal_B,3,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,5,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,8,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,15,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,16,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,19,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,20,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,21,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_B,22,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point01,Unload_Terminal_C,2,23,0,23,0,644.0,5.228,120.24,15.72
Collection_Point01,Unload_Terminal_C,4,23,0,23,0,644.0,5.228,120.24,15.72
Collection_Point01,Unload_Terminal_C,9,23,0,23,0,644.0,5.228,120.24,15.72
Collection_Point01,Unload_Terminal_C,10,14,0,14,0,392.0,5.228,73.19,9.57
Collection_Point01,Unload_Terminal_C,11,23,0,23,0,644.0,5.228,120.24,15.72
Collection_Point01,Unload_Terminal_C,12,23,0,23,0,644.0,5.228,120.24,15.72
Collection_Point01,Unload_Terminal_C,17,23,0,23,0,644.0,5.228,120.24,15.72
Collection_Point01,Unload_Terminal_C,18,23,0,23,0,644.0,5.228,120.24,15.72
Collection_Point01,Unload_Terminal_C,24,22,0,22,0,616.0,5.228,115.01,15.03
Collection_Point02,Unload_Terminal_A,2,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point02,Unload_Terminal_A,3,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point02,Unload_Terminal_A,6,22,0,22,0,616.0,5.435,119.58,15.63
Collection_Point02,Unload_Terminal_A,12,25,0,25,0,700.0,5.435,135.88,17.76
Collection_Point02,Unload_Terminal_A,13,18,0,18,0,504.0,5.435,97.83,12.79
Collection_Point02,Unload_Terminal_B,4,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point02,Unload_Terminal_B,7,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point02,Unload_Terminal_B,8,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point02,Unload_Terminal_B,9,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point02,Unload_Terminal_B,10,20,0,20,0,560.0,6.101,122.03,15.95
Collection_Point02,Unload_Terminal_B,13,6,0,6,0,168.0,6.101,36.61,4.79
Collection_Point02,Unload_Terminal_C,5,22,0,22,0,616.0,5.656,124.42,16.26
Collection_Point02,Unload_Terminal_C,11,24,0,24,0,672.0,5.656,135.73,17.74
Collection_Point02,Unload_Terminal_C,14,24,0,24,0,672.0,5.656,135.73,17.74
Collection_Point02,Unload_Terminal_C,15,20,0,20,0,560.0,5.656,113.11,14.79
Collection_Point02,Unload_Terminal_C,16,2,0,2,0,56.0,5.656,11.31,1.48
Collection_Point03,Unload_Terminal_A,8,13,0,13,0,364.0,4.99,64.87,8.48
Collection_Point03,Unload_Terminal_A,9,13,0,13,0,364.0,4.99,64.87,8.48
Collection_Point03,Unload_Terminal_A,15,13,0,13,0,364.0,4.99,64.87,8.48
Collection_Point03,Unload_Terminal_A,17,12,0,12,0,336.0,4.99,59.88,7.83
Collection_Point03,Unload_Terminal_B,2,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_B,4,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_B,7,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_B,10,11,0,11,0,308.0,4.941,54.35,7.1
Collection_Point03,Unload_Terminal_B,12,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_B,16,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_B,19,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_B,21,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_B,24,13,0,13,0,364.0,4.941,64.23,8.4
Collection_Point03,Unload_Terminal_C,1,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,3,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,5,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,6,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,10,2,0,2,0,56.0,5.344,10.69,1.4
Collection_Point03,Unload_Terminal_C,11,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,13,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,14,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,17,1,0,1,0,28.0,5.344,5.34,0.7
Collection_Point03,Unload_Terminal_C,18,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,20,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,22,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point03,Unload_Terminal_C,23,12,0,12,0,336.0,5.344,64.13,8.38
Collection_Point04,Unload_Terminal_A,1,8,0,8,0,224.0,7.651,61.21,8.0
Collection_Point04,Unload_Terminal_A,4,8,0,8,0,224.0,7.651,61.21,8.0
Collection_Point04,Unload_Terminal_A,10,4,0,4,0,112.0,7.651,30.6,4.0
Collection_Point04,Unload_Terminal_A,12,8,0,8,0,224.0,7.651,61.21,8.0
Collection_Point04,Unload_Terminal_A,19,8,0,8,0,224.0,7.651,61.21,8.0
Collection_Point04,Unload_Terminal_A,22,8,0,8,0,224.0,7.651,61.21,8.0
Collection_Point04,Unload_Terminal_B,2,8,0,8,0,224.0,7.42,59.36,7.76
Collection_Point04,Unload_Terminal_B,3,8,0,8,0,224.0,7.42,59.36,7.76
Collection_Point04,Unload_Terminal_B,5,6,0,6,0,168.0,7.42,44.52,5.82
Collection_Point04,Unload_Terminal_B,8,8,0,8,0,224.0,7.42,59.36,7.76
Collection_Point04,Unload_Terminal_B,14,8,0,8,0,224.0,7.42,59.36,7.76
Collection_Point04,Unload_Terminal_B,18,8,0,8,0,224.0,7.42,59.36,7.76
