cp_name,terminal_name,day,round_trips,one_way_trips,loaded_trips,repo_trips,payload_delivered_tons
Collection_Point01,Unload_Terminal_A,1,8,0,8,0,240.0
Collection_Point01,Unload_Terminal_A,3,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,6,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,13,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,16,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,17,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,18,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_B,1,11,0,11,0,330.0
Collection_Point01,Unload_Terminal_B,4,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,5,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,8,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,15,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,19,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,20,7,0,7,0,210.0
Collection_Point01,Unload_Terminal_B,21,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,22,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,23,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_C,2,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,7,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,9,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,10,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,11,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,12,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,14,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,20,13,0,13,0,390.0
Collection_Point01,Unload_Terminal_C,24,21,0,21,0,630.0
Collection_Point02,Unload_Terminal_A,2,21,0,21,0,630.0
Collection_Point02,Unload_Terminal_A,3,21,0,21,0,630.0
Collection_Point02,Unload_Terminal_A,7,21,0,21,0,630.0
Collection_Point02,Unload_Terminal_A,12,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_A,13,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_A,20,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_A,21,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_A,24,21,0,21,0,630.0
Collection_Point02,Unload_Terminal_B,1,19,0,19,0,570.0
Collection_Point02,Unload_Terminal_B,5,19,0,19,0,570.0
Collection_Point02,Unload_Terminal_B,8,19,0,19,0,570.0
Collection_Point02,Unload_Terminal_B,10,9,0,9,0,270.0
Collection_Point02,Unload_Terminal_B,14,4,0,4,0,120.0
Collection_Point02,Unload_Terminal_B,17,4,0,4,0,120.0
Collection_Point02,Unload_Terminal_B,22,7,0,7,0,210.0
Collection_Point02,Unload_Terminal_B,23,19,0,19,0,570.0
Collection_Point02,Unload_Terminal_C,4,20,0,20,0,600.0
Collection_Point02,Unload_Terminal_C,6,20,0,20,0,600.0
Collection_Point02,Unload_Terminal_C,9,19,0,19,0,570.0
Collection_Point02,Unload_Terminal_C,11,9,0,9,0,270.0
Collection_Point02,Unload_Terminal_C,15,4,0,4,0,120.0
Collection_Point02,Unload_Terminal_C,16,4,0,4,0,120.0
Collection_Point02,Unload_Terminal_C,18,4,0,4,0,120.0
Collection_Point02,Unload_Terminal_C,19,4,0,4,0,120.0
Collection_Point03,Unload_Terminal_A,7,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_A,9,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_A,16,12,0,12,0,360.0
Collection_Point03,Unload_Terminal_A,18,13,0,13,0,390.0
Collection_Point03,Unload_Terminal_B,2,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_B,4,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_B,8,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_B,10,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_B,11,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_B,12,11,0,11,0,330.0
Collection_Point03,Unload_Terminal_B,15,13,0,13,0,390.0
Collection_Point03,Unload_Terminal_B,17,2,0,2,0,60.0
Collection_Point03,Unload_Terminal_B,19,13,0,13,0,390.0
Collection_Point03,Unload_Terminal_B,21,13,0,13,0,390.0
Collection_Point03,Unload_Terminal_C,1,12,0,12,0,360.0
Collection_Point03,Unload_Terminal_C,3,10,0,10,0,300.0
Collection_Point03,Unload_Terminal_C,5,10,0,10,0,300.0
Collection_Point03,Unload_Terminal_C,6,10,0,10,0,300.0
Collection_Point03,Unload_Terminal_C,13,12,0,12,0,360.0
Collection_Point03,Unload_Terminal_C,14,12,0,12,0,360.0
Collection_Point03,Unload_Terminal_C,17,10,0,10,0,300.0
Collection_Point03,Unload_Terminal_C,20,12,0,12,0,360.0
Collection_Point03,Unload_Terminal_C,22,12,0,12,0,360.0
Collection_Point03,Unload_Terminal_C,23,12,0,12,0,360.0
Collection_Point03,Unload_Terminal_C,24,12,0,12,0,360.0
Collection_Point04,Unload_Terminal_A,1,19,0,19,0,570.0
Collection_Point04,Unload_Terminal_A,4,2,0,2,0,60.0
Collection_Point04,Unload_Terminal_A,19,18,0,18,0,540.0
Collection_Point04,Unload_Terminal_B,2,20,0,20,0,600.0
Collection_Point04,Unload_Terminal_B,3,18,0,18,0,540.0
Collection_Point04,Unload_Terminal_B,23,20,0,20,0,600.0
Collection_Point04,Unload_Terminal_C,20,19,0,19,0,570.0
Collection_Point04,Unload_Terminal_C,21,19,0,19,0,570.0
Collection_Point04,Unload_Terminal_C,22,20,0,20,0,600.0
Collection_Point04,Unload_Terminal_C,24,20,0,20,0,600.0
Collection_Point05,Unload_Terminal_A,3,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_A,8,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_A,9,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_A,13,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_A,14,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_A,18,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_A,22,4,0,4,0,120.0
Collection_Point05,Unload_Terminal_B,1,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_B,2,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_B,4,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_B,6,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_B,15,4,0,4,0,120.0
Collection_Point05,Unload_Terminal_B,16,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_B,17,9,0,9,0,270.0
Collection_Point05,Unload_Terminal_C,5,17,0,17,0,510.0
Collection_Point05,Unload_Terminal_C,7,17,0,17,0,510.0
Collection_Point05,Unload_Terminal_C,10,17,0,17,0,510.0
Collection_Point05,Unload_Terminal_C,11,17,0,17,0,510.0
