cp_name,terminal_name,day,round_trips,one_way_trips,loaded_trips,repo_trips,payload_delivered_tons
Collection_Point01,Unload_Terminal_A,1,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,3,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,11,8,0,8,0,240.0
Collection_Point01,Unload_Terminal_A,13,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,14,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,17,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_A,18,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_B,4,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,5,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,6,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,15,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,16,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,19,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,20,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,21,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_B,22,18,0,18,0,540.0
Collection_Point01,Unload_Terminal_C,2,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,7,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,8,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,9,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,10,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,11,13,0,13,0,390.0
Collection_Point01,Unload_Terminal_C,12,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,23,21,0,21,0,630.0
Collection_Point01,Unload_Terminal_C,24,21,0,21,0,630.0
Collection_Point02,Unload_Terminal_A,3,25,0,25,0,750.0
Collection_Point02,Unload_Terminal_A,6,25,0,25,0,750.0
Collection_Point02,Unload_Terminal_A,7,23,0,23,0,690.0
Collection_Point02,Unload_Terminal_A,12,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_A,24,25,0,25,0,750.0
Collection_Point02,Unload_Terminal_B,1,22,0,22,0,660.0
Collection_Point02,Unload_Terminal_B,2,22,0,22,0,660.0
Collection_Point02,Unload_Terminal_B,8,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_B,9,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_B,13,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_B,14,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_B,17,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_B,20,5,0,5,0,150.0
Collection_Point02,Unload_Terminal_B,21,3,0,3,0,90.0
Collection_Point02,Unload_Terminal_B,23,22,0,22,0,660.0
Collection_Point02,Unload_Terminal_C,4,24,0,24,0,720.0
Collection_Point02,Unload_Terminal_C,5,24,0,24,0,720.0
