scope,cp_name,terminal_name,distance_km,cycle_time_hours,trips_per_truck_per_day,monthly_demand_tons,daily_demand_tons,trucks_needed,trips_month,monthly_operational_cost_usd,milp_status,milp_solve_time_s,notes,scenario_description
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_A,88.34,5.435,1.457,3943.0,164.29,4,132,,N/A,,,
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_B,105.46,6.101,1.298,4967.0,206.96,6,166,,N/A,,,
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_C,83.0,5.228,1.515,5520.0,230.0,6,184,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_A,88.34,5.435,1.457,3104.0,129.33,3,104,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_B,105.46,6.101,1.298,2982.0,124.25,4,100,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_C,94.0,5.656,1.4,2598.0,108.25,3,87,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_A,76.88,4.99,1.587,1391.0,57.96,2,47,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_B,75.61,4.941,1.603,3152.0,131.33,3,106,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_C,86.0,5.344,1.482,3709.0,154.54,4,124,,N/A,,,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_A,145.31,7.651,1.035,1187.0,49.46,2,40,,N/A,,,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_B,139.38,7.42,1.067,1716.0,71.5,3,58,,N/A,,,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_C,135.0,7.25,1.092,2412.0,100.5,4,81,,N/A,,,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_A,146.06,7.68,1.031,1705.0,71.04,3,57,,N/A,,,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_B,140.12,7.449,1.063,1755.0,73.12,3,59,,N/A,,,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_C,53.0,4.061,1.95,5627.0,234.46,5,188,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_A,98.1,5.815,1.362,3658.0,152.42,4,122,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_B,132.8,7.164,1.105,3514.0,146.42,5,118,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_C,159.0,8.183,0.968,3317.0,138.21,5,111,,N/A,,,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_A,97.36,5.786,1.369,4953.0,206.38,6,166,,N/A,,,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_B,132.05,7.135,1.11,1754.0,73.08,3,59,,N/A,,,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_C,106.0,6.122,1.294,4673.0,194.71,6,156,,N/A,,,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_A,32.98,3.283,2.413,3617.0,150.71,3,121,,N/A,,,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_B,67.67,4.632,1.71,4799.0,199.96,4,160,,N/A,,,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_C,82.0,5.189,1.526,5687.0,236.96,6,190,,N/A,,,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_A,172.42,8.705,0.91,1620.0,67.5,3,54,,N/A,,,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_B,170.3,8.623,0.919,1218.0,50.75,2,41,,N/A,,,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_C,179.0,8.961,0.884,4677.0,194.88,8,156,,N/A,,,
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_A,85.36,5.32,1.489,4315.0,179.79,5,144,,N/A,,,
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_B,69.01,4.684,1.691,1139.0,47.46,1,38,,N/A,,,
