scope,cp_name,terminal_name,distance_km,cycle_time_hours,trips_per_truck_per_day,monthly_demand_tons,daily_demand_tons,trucks_needed,trips_month,monthly_operational_cost_usd,milp_status,milp_solve_time_s,notes,scenario_description
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_A,88.34,5.435,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_B,105.46,6.101,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point01,Unload_Terminal_C,83.0,5.228,1.463,15430.0,642.92,15,515,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_A,88.34,5.435,1.407,1727.0,71.96,2,58,,N/A,,,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_B,105.46,6.101,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point02,Unload_Terminal_C,94.0,5.656,1.353,7957.0,331.54,9,266,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_A,76.88,4.99,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_B,75.61,4.941,1.548,9252.0,385.5,9,309,,N/A,,,
4.1_lane_by_lane,Collection_Point03,Unload_Terminal_C,86.0,5.344,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_A,145.31,7.651,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_B,139.38,7.42,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point04,Unload_Terminal_C,135.0,7.25,1.055,6315.0,263.12,9,211,,N/A,,,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_A,146.06,7.68,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_B,140.12,7.449,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point05,Unload_Terminal_C,53.0,4.061,1.884,10087.0,420.29,8,337,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_A,98.1,5.815,1.316,11489.0,478.71,13,383,,N/A,,,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_B,132.8,7.164,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point06,Unload_Terminal_C,159.0,8.183,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_A,97.36,5.786,1.322,12380.0,515.83,14,413,,N/A,,,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_B,132.05,7.135,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point07,Unload_Terminal_C,106.0,6.122,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_A,32.98,3.283,2.331,15103.0,629.29,10,504,,N/A,,,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_B,67.67,4.632,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point08,Unload_Terminal_C,82.0,5.189,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_A,172.42,8.705,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_B,170.3,8.623,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point09,Unload_Terminal_C,179.0,8.961,0.0,0.0,0.0,0,0,,N/A,,no demand,
